"","GENEID","Alignment.x","Rank.x","baseMean.x","Alignment.y","Rank.y","baseMean.y","logMeanExpression","RankDiff","MeanRank","num.trans"
"281","ENSMUSG00000115247","STAR",1356,5138.45200239815,"HISAT2",1327,3330.95277111223,8.82525542846834,29,1341.5,NA
"282","ENSMUSG00000032491","STAR",286,65.0992532876441,"HISAT2",314,63.280773861847,4.57202324833239,-28,300,NA
"283","ENSMUSG00000101309","STAR",515,220.123467220211,"HISAT2",487,139.403838020511,5.66927862518895,28,501,NA
"284","ENSMUSG00000001036","STAR",605,134.287904937159,"HISAT2",577,130.538778035746,5.29610138284393,28,591,NA
"285","ENSMUSG00000030707","STAR",845,40023.6512252751,"HISAT2",817,38881.1547877316,10.9931302110624,28,831,NA
"286","ENSMUSG00000031176","STAR",859,700.53116196681,"HISAT2",831,696.80555166319,6.95552963005325,28,845,4
"287","ENSMUSG00000032352","STAR",958,407.871167698444,"HISAT2",930,400.077422590358,6.41002664564027,28,944,NA
"288","ENSMUSG00000016344","STAR",974,1205.77295609247,"HISAT2",1002,1124.04940053884,7.47748978888883,-28,988,NA
"289","ENSMUSG00000070407","STAR",976,785.570222458236,"HISAT2",948,780.568767722233,7.06975048673307,28,962,1
"290","ENSMUSG00000036908","STAR",1049,1223.45692129296,"HISAT2",1021,1173.95835364683,7.50132303342477,28,1035,NA
"291","ENSMUSG00000042524","STAR",1144,5755.17435082533,"HISAT2",1116,5625.79245351775,9.05579784944009,28,1130,NA
"292","ENSMUSG00000027298","STAR",1151,923.542081933804,"HISAT2",1123,901.164059243648,7.22557179734601,28,1137,NA
"293","ENSMUSG00000027763","STAR",1173,35897.1740839076,"HISAT2",1145,35066.7430443128,10.8861378765048,28,1159,NA
"294","ENSMUSG00000034902","STAR",1220,3003.33203156292,"HISAT2",1192,2951.03656687588,8.40712166635904,28,1206,NA
"295","ENSMUSG00000028657","STAR",1250,2035.74208518318,"HISAT2",1222,1979.65643588095,8.01485488265364,28,1236,NA
"296","ENSMUSG00000079547","STAR",268,84.8084982121861,"HISAT2",241,80.6166234791367,4.82924778056208,27,254.5,3
"297","ENSMUSG00000054203","STAR",470,929.13400103822,"HISAT2",443,868.515868695421,7.21773094383559,27,456.5,2
"298","ENSMUSG00000026342","STAR",507,101.554308445545,"HISAT2",480,95.9682489605148,5.00755343621903,27,493.5,NA
"299","ENSMUSG00000052684","STAR",588,607.969987082473,"HISAT2",561,604.565935299951,6.81372253311723,27,574.5,1
"300","ENSMUSG00000076461","STAR",654,653.270431594721,"HISAT2",627,591.726743605151,6.8555497827674,27,640.5,1
"301","ENSMUSG00000020841","STAR",699,2490.07737065255,"HISAT2",672,2437.56457874312,8.21847973908813,27,685.5,3
"302","ENSMUSG00000084124","STAR",797,1599.45305640971,"HISAT2",770,1391.4626170568,7.73856845257446,27,783.5,NA
"303","ENSMUSG00000100975","STAR",840,508.458673543289,"HISAT2",813,505.706873555151,6.6350434056083,27,826.5,NA
"304","ENSMUSG00000046532","STAR",939,587.638116873425,"HISAT2",912,581.175675475046,6.77790391201901,27,925.5,1
"305","ENSMUSG00000050357","STAR",981,5497.2084526961,"HISAT2",954,5241.16351063315,9.00181325424805,27,967.5,3
"306","ENSMUSG00000044864","STAR",1058,1406.07987023775,"HISAT2",1031,1396.86320195618,7.65183863899921,27,1044.5,NA
"307","ENSMUSG00000038545","STAR",1061,1369.16378523292,"HISAT2",1034,1326.90537103353,7.61707914396203,27,1047.5,NA
"308","ENSMUSG00000070605","STAR",1093,1583.69401441512,"HISAT2",1120,1459.73059755296,7.74654244587949,-27,1106.5,2
"309","ENSMUSG00000034189","STAR",1112,1358.59820114742,"HISAT2",1085,1342.61899229199,7.61574560168848,27,1098.5,4
"310","ENSMUSG00000049804","STAR",1134,850.542267098102,"HISAT2",1107,845.67481527913,7.14942980604331,27,1120.5,1
"311","ENSMUSG00000029106","STAR",1145,8757.4467457131,"HISAT2",1118,8471.51275041,9.47218166286437,27,1131.5,NA
"312","ENSMUSG00000078920","STAR",1202,10743.6737274631,"HISAT2",1175,10645.397647896,9.68448370527426,27,1188.5,9
"313","ENSMUSG00000021068","STAR",1230,4407.4811170643,"HISAT2",1203,4332.48548651715,8.79083574852339,27,1216.5,NA
"314","ENSMUSG00000032030","STAR",1321,2318.60956817788,"HISAT2",1294,2274.34498049285,8.14780406613695,27,1307.5,NA
"315","ENSMUSG00000050627","STAR",1376,1744.82832805971,"HISAT2",1349,1709.38502900799,7.86308241570419,27,1362.5,NA
"316","ENSMUSG00000022884","STAR",1407,13081.8749908764,"HISAT2",1380,12551.531471033,9.87084249009848,27,1393.5,NA
"317","ENSMUSG00000018474","STAR",1418,16514.7295996689,"HISAT2",1391,16148.6606193037,10.1100569038703,27,1404.5,NA
"318","ENSMUSG00000017781","STAR",1427,7404.27938214593,"HISAT2",1400,6878.30038742321,9.29131460649223,27,1413.5,NA
"319","ENSMUSG00000022900","STAR",90,16.1664830284648,"HISAT2",64,15.974479114447,3.18443851255448,26,77,NA
"320","ENSMUSG00000037369","STAR",550,1600.88729714476,"HISAT2",524,1534.70882117339,7.76990306331658,26,537,NA
"321","ENSMUSG00000034361","STAR",751,417.095072465912,"HISAT2",725,403.657650075275,6.42798232086712,26,738,NA
"322","ENSMUSG00000002617","STAR",832,358.656995084143,"HISAT2",806,352.658618100435,6.28224114681947,26,819,NA
"323","ENSMUSG00000044456","STAR",910,2670.3600094219,"HISAT2",884,2621.12866309996,8.28926931778879,26,897,NA
"324","ENSMUSG00000028159","STAR",954,866.556315628996,"HISAT2",928,849.932559380203,7.16357710779059,26,941,NA
"325","ENSMUSG00000033769","STAR",1003,1060.01605913423,"HISAT2",977,1041.97892337215,7.36581632918333,26,990,NA
"326","ENSMUSG00000020280","STAR",1038,1932.40033128948,"HISAT2",1012,1865.49526791526,7.96037527362575,26,1025,NA
"327","ENSMUSG00000037465","STAR",1153,721.258639286308,"HISAT2",1127,703.852791114304,6.97838617402959,26,1140,NA
"328","ENSMUSG00000032235","STAR",1188,900.833592828849,"HISAT2",1162,877.511808628579,7.20011850059605,26,1175,NA
"329","ENSMUSG00000071796","STAR",1223,11293.3239742613,"HISAT2",1197,9053.40685045855,9.66903197327277,26,1210,NA
"330","ENSMUSG00000040929","STAR",1224,613.628748225699,"HISAT2",1198,604.095592058065,6.81966318468758,26,1211,NA
"331","ENSMUSG00000020134","STAR",1227,2939.10959754228,"HISAT2",1201,2873.67222652682,8.38387793790185,26,1214,NA
"332","ENSMUSG00000032849","STAR",1240,1842.04830785334,"HISAT2",1214,1792.49840872004,7.91509166035921,26,1227,NA
"333","ENSMUSG00000019214","STAR",1279,1517.00943852082,"HISAT2",1253,1481.43172102004,7.72211308054657,26,1266,NA
"334","ENSMUSG00000030766","STAR",1282,1351.44988045031,"HISAT2",1256,1325.7952877507,7.60805061267558,26,1269,NA
"335","ENSMUSG00000054428","STAR",1367,1492.44939910507,"HISAT2",1341,1481.24693406068,7.71113388280593,26,1354,NA
"336","ENSMUSG00000032579","STAR",1370,2201.83074806129,"HISAT2",1344,2171.54304281317,8.09791378458554,26,1357,NA
"337","ENSMUSG00000021998","STAR",1413,56021.9756760886,"HISAT2",1387,53503.029334334,11.3238631241731,26,1400,NA
"338","ENSMUSG00000030769","STAR",189,28.9197098046174,"HISAT2",214,27.6332175005895,3.7550491103578,-25,201.5,NA
"339","ENSMUSG00000026536","STAR",342,1293.90856019389,"HISAT2",317,1220.4252987052,7.55177587380116,25,329.5,1
"340","ENSMUSG00000002104","STAR",351,66.8713471417866,"HISAT2",326,63.9543522694235,4.59358861047113,25,338.5,4
"341","ENSMUSG00000055320","STAR",386,486.033452832181,"HISAT2",361,477.527155021173,6.58589165751117,25,373.5,NA
"342","ENSMUSG00000073489","STAR",409,556.863319552272,"HISAT2",384,528.287319451651,6.71053161036404,25,396.5,2
"343","ENSMUSG00000068551","STAR",442,153.038448891838,"HISAT2",417,151.428488276383,5.43264147689521,25,429.5,NA
"344","ENSMUSG00000029603","STAR",535,280.782071015658,"HISAT2",510,274.894824523182,6.03603028493333,25,522.5,NA
"345","ENSMUSG00000055632","STAR",542,145.386438645102,"HISAT2",517,140.539243169544,5.37368482485468,25,529.5,NA
"346","ENSMUSG00000073427","STAR",704,274.428872598055,"HISAT2",679,263.447210992237,6.00672865090436,25,691.5,5
"347","ENSMUSG00000092203","STAR",786,1989.26702006036,"HISAT2",761,1957.40600863756,7.99563350463355,25,773.5,NA
"348","ENSMUSG00000031969","STAR",1022,676.157876542633,"HISAT2",1047,655.659023414024,6.91173473866844,-25,1034.5,NA
"349","ENSMUSG00000113431","STAR",1034,2996.0178239665,"HISAT2",1009,1991.13207782597,8.29194338923204,25,1021.5,NA
"350","ENSMUSG00000028228","STAR",1044,2351.75257642029,"HISAT2",1019,2287.05364939063,8.15916859456722,25,1031.5,3
"351","ENSMUSG00000024855","STAR",1139,2220.99724894692,"HISAT2",1114,2146.38573875643,8.09991562562491,25,1126.5,NA
"352","ENSMUSG00000026288","STAR",1146,3959.87138375723,"HISAT2",1121,3813.75253913471,8.67705569680681,25,1133.5,NA
"353","ENSMUSG00000040940","STAR",1171,21494.2586841173,"HISAT2",1146,20667.9717548378,10.3681093683166,25,1158.5,NA
"354","ENSMUSG00000049775","STAR",1181,56129.9712739154,"HISAT2",1156,55697.3179980262,11.3383176439471,25,1168.5,NA
"355","ENSMUSG00000024456","STAR",1225,7324.25034927254,"HISAT2",1200,7035.56870297225,9.29118596040165,25,1212.5,NA
"356","ENSMUSG00000038990","STAR",1243,1125.84882400538,"HISAT2",1218,1057.90034003411,7.41143482667218,25,1230.5,NA
